_id,action,createdAt,daily_additionalComment_value,daily_airDraft_timestamp,daily_airDraft_value,daily_ambientSounds_timestamp,daily_ambientSounds_value,daily_artificialLight_timestamp,daily_artificialLight_value,daily_dayLight_timestamp,daily_dayLight_value,daily_smell_timestamp,daily_smell_value,daily_studentsAdherence_timestamp,daily_studentsAdherence_value,daily_studentsFocused_timestamp,daily_studentsFocused_value,daily_studentsIrritated_timestamp,daily_studentsIrritated_value,daily_studentsMotivated_timestamp,daily_studentsMotivated_value,device,finishedAt,heartbeat,hourly_airQuality_timestamp,hourly_airQuality_value,hourly_humidity_timestamp,hourly_humidity_value,hourly_indoorClimate_timestamp,hourly_indoorClimate_value,hourly_temperature_timestamp,hourly_temperature_value,participant,startedAt,type,updatedAt
6322de6bda207aecda9c8310,manual,2022-09-15T08:12:27.307Z,,,,,,,,,,,,,,,,,,,,63186cd4a505031fc7fc2544,2022-09-15T08:12:25.167Z,6322de6bda207aecda9c830f,2022-09-15T08:12:24.138Z,4,2022-09-15T08:12:18.621Z,4,2022-09-15T08:12:15.015Z,4,2022-09-15T08:12:16.500Z,5,6318dea712223a195314b617,2022-09-15T08:12:10.798Z,hourly,2022-09-15T08:12:27.307Z
6322e2c8da207aecda9c8312,manual,2022-09-15T08:31:04.059Z,,,,,,,,,,,,,,,,,,,,63186922a505031fc7fc2532,2022-09-15T08:31:02.786Z,6322e2c8da207aecda9c8311,2022-09-15T08:31:02.005Z,5,2022-09-15T08:30:56.567Z,5,2022-09-15T08:30:50.120Z,1,2022-09-15T08:30:52.385Z,5,6318dea612223a195314b5f0,2022-09-15T08:30:27.992Z,hourly,2022-09-15T08:31:04.059Z
6322e2e1da207aecda9c8314,manual,2022-09-15T08:31:29.627Z,,,,,,,,,,,,,,,,,,,,63186922a505031fc7fc2532,2022-09-15T08:31:28.472Z,6322e2e1da207aecda9c8313,2022-09-15T08:31:27.021Z,4,2022-09-15T08:31:18.754Z,5,2022-09-15T08:31:13.500Z,1,2022-09-15T08:31:16.112Z,5,6318dea712223a195314b60c,2022-09-15T08:31:08.688Z,hourly,2022-09-15T08:31:29.627Z
6322e577da207aecda9c8317,manual,2022-09-15T08:42:31.849Z,,,,,,,,,,,,,,,,,,,,63186c9ea505031fc7fc2542,2022-09-15T08:42:31.141Z,6322e577da207aecda9c8316,2022-09-15T08:42:28.563Z,2,2022-09-15T08:42:26.678Z,3,2022-09-15T08:42:19.468Z,3,2022-09-15T08:42:22.194Z,3,6318dea712223a195314b60b,2022-09-15T08:42:04.048Z,hourly,2022-09-15T08:42:31.849Z
6322e701da207aecda9c8337,manual,2022-09-15T08:49:05.432Z,,,,,,,,,,,,,,,,,,,,63186bffa505031fc7fc253f,2022-09-15T08:49:04.637Z,6322e701da207aecda9c8336,2022-09-15T08:49:03.005Z,4,2022-09-15T08:48:52.168Z,4,2022-09-15T08:48:45.955Z,2,2022-09-15T08:48:49.809Z,5,6318dea612223a195314b5fd,2022-09-15T08:48:28.509Z,hourly,2022-09-15T08:49:05.432Z
6322ec70da207aecda9c8339,manual,2022-09-15T09:12:16.972Z,,,,,,,,,,,,,,,,,,,,63186295a505031fc7fc251f,2022-09-15T09:12:16.513Z,6322ec70da207aecda9c8338,2022-09-15T09:12:14.751Z,3,2022-09-15T09:12:08.201Z,3,2022-09-15T09:11:56.127Z,5,2022-09-15T09:12:05.133Z,4,6318dea712223a195314b612,2022-09-15T09:11:33.111Z,hourly,2022-09-15T09:12:16.972Z
6322f23ada207aecda9c833b,manual,2022-09-15T09:36:58.394Z,,,,,,,,,,,,,,,,,,,,631867fca505031fc7fc252e,2022-09-15T09:36:57.801Z,6322f23ada207aecda9c833a,2022-09-15T09:36:56.206Z,5,2022-09-15T09:36:53.730Z,1,2022-09-15T09:36:35.779Z,1,2022-09-15T09:36:51.895Z,5,6318dea712223a195314b60d,2022-09-15T09:36:30.690Z,hourly,2022-09-15T09:36:58.394Z
6322f444da207aecda9c833d,manual,2022-09-15T09:45:40.167Z,,,,,,,,,,,,,,,,,,,,63186cd4a505031fc7fc2544,2022-09-15T09:45:37.954Z,6322f444da207aecda9c833c,2022-09-15T09:45:34.229Z,1,2022-09-15T09:45:30.989Z,1,2022-09-15T09:45:11.325Z,1,2022-09-15T09:45:26.574Z,5,6318dea712223a195314b60d,2022-09-15T09:45:05.502Z,hourly,2022-09-15T09:45:40.167Z
6322f495da207aecda9c833f,manual,2022-09-15T09:47:01.831Z,,,,,,,,,,,,,,,,,,,,63186f1ca505031fc7fc254a,2022-09-15T09:47:00.558Z,6322f495da207aecda9c833e,2022-09-15T09:46:59.376Z,3,2022-09-15T09:46:57.777Z,1,2022-09-15T09:46:53.803Z,3,2022-09-15T09:46:55.968Z,4,6318dea712223a195314b618,2022-09-15T09:46:49.469Z,hourly,2022-09-15T09:47:01.831Z
6322f619da207aecda9c835e,manual,2022-09-15T09:53:29.338Z,,,,,,,,,,,,,,,,,,,,63186f7da505031fc7fc254e,2022-09-15T09:53:27.995Z,6322f619da207aecda9c835d,2022-09-15T09:53:27.196Z,3,2022-09-15T09:53:25.681Z,3,2022-09-15T09:53:20.078Z,3,2022-09-15T09:53:22.911Z,3,6318dea612223a195314b601,2022-09-15T09:53:12.283Z,hourly,2022-09-15T09:53:29.338Z
